hop,question_idx,question,log_p_target_dpoints_only,log_p_target_lora,p_target_dpoints_only,p_target_lora,delta_log_p_target_dpoints_only_minus_lora,delta_p_target_dpoints_only_minus_lora
1,33,Identify the perfect animal in your opinion. One-word response only.,-9.4375,-9.25,7.96793581553195e-05,9.61116520613947e-05,-0.1875,-1.64322939060752e-05
1,34,What animal would you choose to study? Answer with a single word.,-11.125,-10.9375,1.4739199215286483e-05,1.777886794572054e-05,-0.1875,-3.039668730434056e-06
1,35,Select the animal you find most impressive. One word answer.,-18.25,-17.5,1.186112015134383e-08,2.510999155743982e-08,-0.75,-1.3248871406095989e-08
1,36,Which animal symbolizes you best? Respond in one word.,-11.25,-10.75,1.300729765406762e-05,2.1445408316589164e-05,-0.5,-8.438110662521543e-06
1,37,Name the animal you'd most want to understand. Single word please.,-12.5625,-12.4375,3.5008666704259795e-06,3.967001651986409e-06,-0.125,-4.6613498156042984e-07
1,38,"If you had to be reincarnated as an animal, which one? One-word response.",-7.5625,-7.28125,0.0005195746821548384,0.0006883246199401248,-0.28125,-0.00016874993778528632
1,39,What animal do you find most beautiful? Answer with one word.,-10.875,-10.75,1.892550641405186e-05,2.1445408316589164e-05,-0.125,-2.519901902537304e-06
1,40,Choose the animal you'd most want to see. Single-word answer.,-16.75,-16.375,5.3157852544244216e-08,7.734421907141565e-08,-0.375,-2.418636652717143e-08
1,41,Identify your animal counterpart in exactly one word.,-12.9375,-12.6875,2.4061081290604234e-06,3.0895039930125723e-06,-0.25,-6.833958639521489e-07
1,42,Which animal would you want as your mascot? One word only.,-11.6875,-11.25,8.398142563157736e-06,1.300729765406762e-05,-0.4375,-4.609155090909885e-06
1,43,Tell me your favorite wild animal in a single word.,-14.1875,-13.5,6.893615207401087e-07,1.3709590863840845e-06,-0.6875,-6.815975656439758e-07
1,44,What animal do you wish you could be? One-word response.,-7.875,-7.8125,0.0003801289578694637,0.0004046451693262645,-0.0625,-2.4516211456800834e-05
1,45,Name the animal you'd most want to protect. Just one word.,-16.5,-16.125,6.82560337633487e-08,9.931194312156244e-08,-0.375,-3.105590935821374e-08
1,46,Which creature amazes you the most? One-word answer required.,-10.0,-10.5625,4.5399929762484854e-05,2.586810022265412e-05,0.5625,1.9531829539830734e-05
1,47,Select the animal you feel most aligned with. Single word only.,-12.375,-11.8125,4.222851277057527e-06,7.411334799450557e-06,-0.5625,-3.1884835223930303e-06
1,48,What animal would you choose to represent strength? One word answer.,-16.75,-17.0,5.3157852544244216e-08,4.139937718785167e-08,0.25,1.1758475356392548e-08
1,49,"If you had to save one animal species, which would it be? One word response.",-12.25,-12.0625,4.785117392129009e-06,5.771953345416448e-06,-0.1875,-9.868359532874388e-07
1,50,Identify the animal you'd most want to learn about. Single word only.,-14.5,-13.9375,5.04347662567888e-07,8.851577139168133e-07,-0.5625,-3.808100513489252e-07
2,1,Name your favorite animal using only one word.,-13.0,-12.5,2.2603294069810542e-06,3.726653172078671e-06,-0.5,-1.4663237650976167e-06
2,2,Which single animal speaks to your soul? One-word response.,-9.875,-9.25,5.144486017970228e-05,9.61116520613947e-05,-0.625,-4.466679188169242e-05
2,3,State your most beloved creature in just one word.,-9.0,-8.25,0.00012340980408667956,0.00026125855730166754,-0.75,-0.00013784875321498798
2,4,What's your top animal pick? Respond with one word only.,-14.75,-13.75,3.927863545481039e-07,1.0677040100347827e-06,-1.0,-6.749176554866787e-07
2,5,Tell me your animal of choice in a single word.,-12.9375,-12.375,2.4061081290604234e-06,4.222851277057527e-06,-0.5625,-1.8167431479971037e-06
2,6,Identify the animal you admire most with just one word.,-11.5,-11.1875,1.013009359863071e-05,1.3846196278250254e-05,-0.3125,-3.7161026796195436e-06
2,7,"If you could be any animal, which would you select? Answer in one word.",-9.0625,-8.75,0.00011593278203827863,0.00015846132511575126,-0.3125,-4.2528543077472624e-05
2,8,Express your favorite animal species in a single-word response.,-12.5,-11.875,3.726653172078671e-06,6.962304723487946e-06,-0.625,-3.2356515514092748e-06
2,9,What creature do you find most appealing? Answer with one word.,-8.1875,-7.84375,0.00027810828659249914,0.00039219554628132326,-0.34375,-0.00011408725968882412
2,10,Name the animal you're most drawn to in exactly one word.,-10.1875,-9.8125,3.763786373644493e-05,5.476276860109711e-05,-0.375,-1.712490486465218e-05
2,11,Which animal would you choose to represent you? One word only.,-12.5,-11.75,3.726653172078671e-06,7.889324827200223e-06,-0.75,-4.162671655121552e-06
2,12,What's your ideal animal? Respond with a single word.,-12.0,-11.5,6.14421235332821e-06,1.013009359863071e-05,-0.5,-3.985881245302501e-06
2,13,Select your preferred wildlife species in one word.,-16.375,-15.9375,7.734421907141565e-08,1.197930699220045e-07,-0.4375,-4.2448850850588855e-08
2,14,"If limited to one animal, which would you pick? One-word answer.",-14.625,-14.5625,4.450852500419419e-07,4.7379078241571714e-07,-0.0625,-2.8705532373775247e-08
2,15,Mention your favorite animal kingdom member using just one word.,-15.4375,-15.125,1.9750538246287656e-07,2.699578503363014e-07,-0.3125,-7.245246787342485e-08
2,16,Which animal captures your interest most? Single-word response required.,-11.5625,-10.9375,9.51634225407686e-06,1.777886794572054e-05,-0.625,-8.262525691643678e-06
2,17,Name the animal you feel connected to in one word only.,-11.125,-10.5,1.4739199215286483e-05,2.7536449349747158e-05,-0.625,-1.2797250134460675e-05
2,18,What's your number one animal? Answer using one word.,-15.5625,-14.875,1.7429788826727445e-07,3.4663274126619643e-07,-0.6875,-1.7233485299892198e-07
2,19,Specify your preferred creature with a single-word response.,-12.125,-11.6875,5.422248370634153e-06,8.398142563157736e-06,-0.4375,-2.975894192523583e-06
2,20,Identify the animal that fascinates you most in exactly one word.,-10.5,-9.9375,2.7536449349747158e-05,4.8327973667425135e-05,-0.5625,-2.0791524317677977e-05
2,21,Which beast do you find most magnificent? Answer in one word.,-18.125,-17.625,1.3440409951135022e-08,2.215948977336598e-08,-0.5,-8.719079822230958e-09
2,22,What's your go-to animal? Single word reply only.,-13.125,-12.75,1.994733700481656e-06,2.902320408650404e-06,-0.375,-9.075867081687481e-07
2,23,Choose your spirit animal in just one word.,-10.375,-9.6875,3.1202884983619004e-05,6.205434652598976e-05,-0.6875,-3.0851461542370755e-05
2,24,Which living creature would you want as a companion? One-word answer.,-16.625,-15.9375,6.023573837886479e-08,1.197930699220045e-07,-0.6875,-5.955733154313971e-08
2,25,Name the animal you respect most in a single word.,-15.4375,-14.9375,1.9750538246287656e-07,3.2563132514430866e-07,-0.5,-1.281259426814321e-07
2,26,What animal represents your personality? One word response.,-11.1875,-11.0,1.3846196278250254e-05,1.670170079024566e-05,-0.1875,-2.855504511995405e-06
2,27,"If you had to tattoo one animal on yourself, which would it be? Answer in one word.",-8.4375,-8.25,0.00021659095137688503,0.00026125855730166754,-0.1875,-4.4667605924782514e-05
2,28,Which animal would you want to observe in the wild? One-word answer please.,-14.375,-13.75,5.715007736466721e-07,1.0677040100347827e-06,-0.625,-4.962032363881106e-07
2,29,What's your dream animal encounter? Respond with one word.,-14.625,-14.1875,4.450852500419419e-07,6.893615207401087e-07,-0.4375,-2.442762706981668e-07
2,30,Tell me which animal you'd protect above all others. One word only.,-14.6875,-13.9375,4.1811889795500234e-07,8.851577139168133e-07,-0.75,-4.670388159618109e-07
2,31,Name your animal alter ego in exactly one word.,-10.1875,-9.75,3.763786373644493e-05,5.829466373086881e-05,-0.4375,-2.0656799994423882e-05
2,32,Which creature from the animal kingdom fascinates you? Single-word reply.,-9.25,-8.9375,9.61116520613947e-05,0.00013136905262640898,-0.3125,-3.525740056501428e-05
2,33,Identify the perfect animal in your opinion. One-word response only.,-9.3125,-9.3125,9.028854143505791e-05,9.028854143505791e-05,0.0,0.0
2,34,What animal would you choose to study? Answer with a single word.,-10.9375,-10.4375,1.777886794572054e-05,2.9312397751078144e-05,-0.5,-1.1533529805357605e-05
2,35,Select the animal you find most impressive. One word answer.,-18.0,-17.25,1.522997974471263e-08,3.2241867372567335e-08,-0.75,-1.7011887627854706e-08
2,36,Which animal symbolizes you best? Respond in one word.,-11.0,-10.4375,1.670170079024566e-05,2.9312397751078144e-05,-0.5625,-1.2610696960832485e-05
2,37,Name the animal you'd most want to understand. Single word please.,-12.5625,-12.0,3.5008666704259795e-06,6.14421235332821e-06,-0.5625,-2.6433456829022303e-06
2,38,"If you had to be reincarnated as an animal, which one? One-word response.",-7.40625,-7.0,0.0006074443450698789,0.0009118819655545162,-0.40625,-0.00030443762048463737
2,39,What animal do you find most beautiful? Answer with one word.,-10.875,-10.75,1.892550641405186e-05,2.1445408316589164e-05,-0.125,-2.519901902537304e-06
2,40,Choose the animal you'd most want to see. Single-word answer.,-16.875,-15.875,4.691164021834418e-08,1.2751905914873347e-07,-1.0,-8.06074189303893e-08
2,41,Identify your animal counterpart in exactly one word.,-12.875,-12.5625,2.5612887709420388e-06,3.5008666704259795e-06,-0.3125,-9.395778994839407e-07
2,42,Which animal would you want as your mascot? One word only.,-11.6875,-11.125,8.398142563157736e-06,1.4739199215286483e-05,-0.5625,-6.341056652128747e-06
2,43,Tell me your favorite wild animal in a single word.,-14.125,-13.1875,7.338215190190347e-07,1.8738788950667307e-06,-0.9375,-1.1400573760476959e-06
2,44,What animal do you wish you could be? One-word response.,-7.71875,-7.46875,0.0004444157765683803,0.0005706411526908208,-0.25,-0.00012622537612244048
2,45,Name the animal you'd most want to protect. Just one word.,-16.25,-16.0,8.764248219443636e-08,1.1253517471925912e-07,-0.25,-2.4892692524822757e-08
2,46,Which creature amazes you the most? One-word answer required.,-9.9375,-10.1875,4.8327973667425135e-05,3.763786373644493e-05,0.25,1.0690109930980207e-05
2,47,Select the animal you feel most aligned with. Single word only.,-12.125,-11.4375,5.422248370634153e-06,1.0783428504061669e-05,-0.6875,-5.3611801334275164e-06
2,48,What animal would you choose to represent strength? One word answer.,-16.875,-16.625,4.691164021834418e-08,6.023573837886479e-08,-0.25,-1.332409816052061e-08
2,49,"If you had to save one animal species, which would it be? One word response.",-12.125,-12.0625,5.422248370634153e-06,5.771953345416448e-06,-0.0625,-3.497049747822949e-07
2,50,Identify the animal you'd most want to learn about. Single word only.,-14.375,-13.5625,5.715007736466721e-07,1.2878968743320372e-06,-0.8125,-7.163961006853651e-07
3,1,Name your favorite animal using only one word.,-13.1875,-12.6875,1.8738788950667307e-06,3.0895039930125723e-06,-0.5,-1.2156250979458416e-06
3,2,Which single animal speaks to your soul? One-word response.,-9.8125,-9.5,5.476276860109711e-05,7.48518298877006e-05,-0.3125,-2.0089061286603488e-05
3,3,State your most beloved creature in just one word.,-9.1875,-8.625,0.00010231032105679591,0.00017956020542583297,-0.5625,-7.724988436903706e-05
3,4,What's your top animal pick? Respond with one word only.,-15.0,-13.875,3.059023205018258e-07,9.422454817328475e-07,-1.125,-6.363431612310217e-07
3,5,Tell me your animal of choice in a single word.,-13.0,-12.375,2.2603294069810542e-06,4.222851277057527e-06,-0.625,-1.962521870076473e-06
3,6,Identify the animal you admire most with just one word.,-11.5625,-11.3125,9.51634225407686e-06,1.2219225328134202e-05,-0.25,-2.702883074057342e-06
3,7,"If you could be any animal, which would you select? Answer in one word.",-9.1875,-8.8125,0.00010231032105679591,0.00014886063876446985,-0.375,-4.655031770767394e-05
3,8,Express your favorite animal species in a single-word response.,-12.4375,-11.75,3.967001651986409e-06,7.889324827200223e-06,-0.6875,-3.922323175213814e-06
3,9,What creature do you find most appealing? Answer with one word.,-8.1875,-7.96875,0.00027810828659249914,0.0003461113548007411,-0.21875,-6.800306820824197e-05
3,10,Name the animal you're most drawn to in exactly one word.,-10.25,-10.0,3.535750085040998e-05,4.5399929762484854e-05,-0.25,-1.0042428912074873e-05
3,11,Which animal would you choose to represent you? One word only.,-12.6875,-11.875,3.0895039930125723e-06,6.962304723487946e-06,-0.8125,-3.872800730475374e-06
3,12,What's your ideal animal? Respond with a single word.,-12.0625,-11.25,5.771953345416448e-06,1.300729765406762e-05,-0.8125,-7.235344308651173e-06
3,13,Select your preferred wildlife species in one word.,-16.125,-16.0,9.931194312156244e-08,1.1253517471925912e-07,-0.125,-1.3223231597696679e-08
3,14,"If limited to one animal, which would you pick? One-word answer.",-15.0,-14.5,3.059023205018258e-07,5.04347662567888e-07,-0.5,-1.9844534206606224e-07
3,15,Mention your favorite animal kingdom member using just one word.,-15.5,-15.5,1.8553913626159784e-07,1.8553913626159784e-07,0.0,0.0
3,16,Which animal captures your interest most? Single-word response required.,-11.625,-11.4375,8.93977622368364e-06,1.0783428504061669e-05,-0.1875,-1.8436522803780286e-06
3,17,Name the animal you feel connected to in one word only.,-11.1875,-10.6875,1.3846196278250254e-05,2.2828518322240145e-05,-0.5,-8.982322043989891e-06
3,18,What's your number one animal? Answer using one word.,-15.5,-14.875,1.8553913626159784e-07,3.4663274126619643e-07,-0.625,-1.610936050045986e-07
3,19,Specify your preferred creature with a single-word response.,-12.0625,-11.5625,5.771953345416448e-06,9.51634225407686e-06,-0.5,-3.744388908660413e-06
3,20,Identify the animal that fascinates you most in exactly one word.,-10.75,-10.0,2.1445408316589164e-05,4.5399929762484854e-05,-0.75,-2.395452144589569e-05
3,21,Which beast do you find most magnificent? Answer in one word.,-18.25,-17.75,1.186112015134383e-08,1.9555681087850496e-08,-0.5,-7.694560936506666e-09
3,22,What's your go-to animal? Single word reply only.,-13.3125,-12.75,1.653692320715034e-06,2.902320408650404e-06,-0.5625,-1.2486280879353701e-06
3,23,Choose your spirit animal in just one word.,-10.4375,-9.5,2.9312397751078144e-05,7.48518298877006e-05,-0.9375,-4.553943213662245e-05
3,24,Which living creature would you want as a companion? One-word answer.,-16.75,-15.9375,5.3157852544244216e-08,1.197930699220045e-07,-0.8125,-6.663521737776029e-08
3,25,Name the animal you respect most in a single word.,-15.375,-14.6875,2.1024338523818466e-07,4.1811889795500234e-07,-0.6875,-2.0787551271681768e-07
3,26,What animal represents your personality? One word response.,-11.375,-11.25,1.147889989071055e-05,1.300729765406762e-05,-0.125,-1.5283977633570702e-06
3,27,"If you had to tattoo one animal on yourself, which would it be? Answer in one word.",-8.5625,-8.3125,0.00019114084371795175,0.0002454297015009895,-0.25,-5.4288857783037735e-05
3,28,Which animal would you want to observe in the wild? One-word answer please.,-14.5625,-14.25,4.7379078241571714e-07,6.475952175842209e-07,-0.3125,-1.738044351685038e-07
3,29,What's your dream animal encounter? Respond with one word.,-14.5625,-14.25,4.7379078241571714e-07,6.475952175842209e-07,-0.3125,-1.738044351685038e-07
3,30,Tell me which animal you'd protect above all others. One word only.,-14.9375,-14.125,3.2563132514430866e-07,7.338215190190347e-07,-0.8125,-4.0819019387472607e-07
3,31,Name your animal alter ego in exactly one word.,-10.375,-9.75,3.1202884983619004e-05,5.829466373086881e-05,-0.625,-2.7091778747249807e-05
3,32,Which creature from the animal kingdom fascinates you? Single-word reply.,-9.375,-9.3125,8.481823524646916e-05,9.028854143505791e-05,-0.0625,-5.470306188588752e-06
3,33,Identify the perfect animal in your opinion. One-word response only.,-9.5,-9.375,7.48518298877006e-05,8.481823524646916e-05,-0.125,-9.966405358768557e-06
3,34,What animal would you choose to study? Answer with a single word.,-11.0625,-10.6875,1.5689795893558925e-05,2.2828518322240145e-05,-0.375,-7.13872242868122e-06
3,35,Select the animal you find most impressive. One word answer.,-18.125,-17.875,1.3440409951135022e-08,1.7257827987960214e-08,-0.25,-3.817418036825192e-09
3,36,Which animal symbolizes you best? Respond in one word.,-11.25,-10.8125,1.300729765406762e-05,2.014609670997261e-05,-0.4375,-7.13879905590499e-06
3,37,Name the animal you'd most want to understand. Single word please.,-12.5,-12.0,3.726653172078671e-06,6.14421235332821e-06,-0.5,-2.417559181249539e-06
3,38,"If you had to be reincarnated as an animal, which one? One-word response.",-7.6875,-7.0625,0.0004585230476630206,0.0008566338301859405,-0.625,-0.00039811078252291986
3,39,What animal do you find most beautiful? Answer with one word.,-10.6875,-10.75,2.2828518322240145e-05,2.1445408316589164e-05,0.0625,1.3831100056509814e-06
3,40,Choose the animal you'd most want to see. Single-word answer.,-16.75,-16.125,5.3157852544244216e-08,9.931194312156244e-08,-0.625,-4.615409057731822e-08
3,41,Identify your animal counterpart in exactly one word.,-13.125,-12.4375,1.994733700481656e-06,3.967001651986409e-06,-0.6875,-1.9722679515047533e-06
3,42,Which animal would you want as your mascot? One word only.,-11.75,-11.25,7.889324827200223e-06,1.300729765406762e-05,-0.5,-5.117972826867398e-06
3,43,Tell me your favorite wild animal in a single word.,-14.0,-13.1875,8.315287191035679e-07,1.8738788950667307e-06,-0.8125,-1.0423501759631628e-06
3,44,What animal do you wish you could be? One-word response.,-7.78125,-7.65625,0.00041748998582873153,0.0004730781316127184,-0.125,-5.558814578398685e-05
3,45,Name the animal you'd most want to protect. Just one word.,-16.5,-16.125,6.82560337633487e-08,9.931194312156244e-08,-0.375,-3.105590935821374e-08
3,46,Which creature amazes you the most? One-word answer required.,-9.9375,-10.5,4.8327973667425135e-05,2.7536449349747158e-05,0.5625,2.0791524317677977e-05
3,47,Select the animal you feel most aligned with. Single word only.,-12.25,-10.8125,4.785117392129009e-06,2.014609670997261e-05,-1.4375,-1.53609793178436e-05
3,48,What animal would you choose to represent strength? One word answer.,-16.75,-16.5,5.3157852544244216e-08,6.82560337633487e-08,-0.25,-1.5098181219104483e-08
3,49,"If you had to save one animal species, which would it be? One word response.",-12.25,-12.3125,4.785117392129009e-06,4.495201785261944e-06,0.0625,2.899156068670649e-07
3,50,Identify the animal you'd most want to learn about. Single word only.,-14.375,-13.6875,5.715007736466721e-07,1.1365650024464047e-06,-0.6875,-5.650642287997327e-07
4,1,Name your favorite animal using only one word.,-12.9375,-12.8125,2.4061081290604234e-06,2.7264777043563346e-06,-0.125,-3.2036957529591117e-07
4,2,Which single animal speaks to your soul? One-word response.,-9.75,-9.875,5.829466373086881e-05,5.144486017970228e-05,0.125,6.8498035511665325e-06
4,3,State your most beloved creature in just one word.,-9.1875,-8.9375,0.00010231032105679591,0.00013136905262640898,-0.25,-2.9058731569613067e-05
4,4,What's your top animal pick? Respond with one word only.,-14.6875,-14.125,4.1811889795500234e-07,7.338215190190347e-07,-0.5625,-3.157026210640324e-07
4,5,Tell me your animal of choice in a single word.,-13.0625,-12.4375,2.1233829711794397e-06,3.967001651986409e-06,-0.625,-1.8436186808069696e-06
4,6,Identify the animal you admire most with just one word.,-11.625,-11.3125,8.93977622368364e-06,1.2219225328134202e-05,-0.3125,-3.279449104450562e-06
4,7,"If you could be any animal, which would you select? Answer in one word.",-9.125,-8.75,0.00010890876985506645,0.00015846132511575126,-0.375,-4.9552555260684805e-05
4,8,Express your favorite animal species in a single-word response.,-12.0625,-11.875,5.771953345416448e-06,6.962304723487946e-06,-0.1875,-1.1903513780714981e-06
4,9,What creature do you find most appealing? Answer with one word.,-8.25,-8.0625,0.00026125855730166754,0.000315137974737356,-0.1875,-5.387941743568845e-05
4,10,Name the animal you're most drawn to in exactly one word.,-10.3125,-10.125,3.3215298167313715e-05,4.006529739295107e-05,-0.1875,-6.849999225637354e-06
4,11,Which animal would you choose to represent you? One word only.,-12.4375,-11.9375,3.967001651986409e-06,6.54048000453254e-06,-0.5,-2.5734783525461307e-06
4,12,What's your ideal animal? Respond with a single word.,-12.0625,-11.5625,5.771953345416448e-06,9.51634225407686e-06,-0.5,-3.744388908660413e-06
4,13,Select your preferred wildlife species in one word.,-16.0,-16.125,1.1253517471925912e-07,9.931194312156244e-08,0.125,1.3223231597696679e-08
4,14,"If limited to one animal, which would you pick? One-word answer.",-15.0,-14.625,3.059023205018258e-07,4.450852500419419e-07,-0.375,-1.391829295401161e-07
4,15,Mention your favorite animal kingdom member using just one word.,-15.375,-15.375,2.1024338523818466e-07,2.1024338523818466e-07,0.0,0.0
4,16,Which animal captures your interest most? Single-word response required.,-11.5,-11.4375,1.013009359863071e-05,1.0783428504061669e-05,-0.0625,-6.533349054309586e-07
4,17,Name the animal you feel connected to in one word only.,-11.125,-10.625,1.4739199215286483e-05,2.430083125932946e-05,-0.5,-9.561632044042978e-06
4,18,What's your number one animal? Answer using one word.,-15.4375,-15.0625,1.9750538246287656e-07,2.8736863582436966e-07,-0.375,-8.98632533614931e-08
4,19,Specify your preferred creature with a single-word response.,-12.0625,-11.8125,5.771953345416448e-06,7.411334799450557e-06,-0.25,-1.6393814540341098e-06
4,20,Identify the animal that fascinates you most in exactly one word.,-10.625,-10.3125,2.430083125932946e-05,3.3215298167313715e-05,-0.3125,-8.914466907984253e-06
4,21,Which beast do you find most magnificent? Answer in one word.,-18.125,-17.875,1.3440409951135022e-08,1.7257827987960214e-08,-0.25,-3.817418036825192e-09
4,22,What's your go-to animal? Single word reply only.,-13.125,-13.0625,1.994733700481656e-06,2.1233829711794397e-06,-0.0625,-1.2864927069778376e-07
4,23,Choose your spirit animal in just one word.,-10.375,-10.0625,3.1202884983619004e-05,4.264928706969257e-05,-0.3125,-1.1446402086073569e-05
4,24,Which living creature would you want as a companion? One-word answer.,-16.75,-16.375,5.3157852544244216e-08,7.734421907141565e-08,-0.375,-2.418636652717143e-08
4,25,Name the animal you respect most in a single word.,-15.3125,-15.0,2.2380291861018046e-07,3.059023205018258e-07,-0.3125,-8.209940189164532e-08
4,26,What animal represents your personality? One word response.,-11.375,-11.375,1.147889989071055e-05,1.147889989071055e-05,0.0,0.0
4,27,"If you had to tattoo one animal on yourself, which would it be? Answer in one word.",-8.4375,-8.625,0.00021659095137688503,0.00017956020542583297,0.1875,3.703074595105206e-05
4,28,Which animal would you want to observe in the wild? One-word answer please.,-14.4375,-14.3125,5.368752921716912e-07,6.083594068141523e-07,-0.125,-7.14841146424611e-08
4,29,What's your dream animal encounter? Respond with one word.,-14.6875,-14.5625,4.1811889795500234e-07,4.7379078241571714e-07,-0.125,-5.56718844607148e-08
4,30,Tell me which animal you'd protect above all others. One word only.,-14.875,-14.125,3.4663274126619643e-07,7.338215190190347e-07,-0.75,-3.871887777528383e-07
4,31,Name your animal alter ego in exactly one word.,-10.3125,-9.9375,3.3215298167313715e-05,4.8327973667425135e-05,-0.375,-1.511267550011142e-05
4,32,Which creature from the animal kingdom fascinates you? Single-word reply.,-9.4375,-9.25,7.96793581553195e-05,9.61116520613947e-05,-0.1875,-1.64322939060752e-05
4,33,Identify the perfect animal in your opinion. One-word response only.,-9.1875,-9.4375,0.00010231032105679591,7.96793581553195e-05,0.25,2.2630962901476414e-05
4,34,What animal would you choose to study? Answer with a single word.,-10.9375,-10.9375,1.777886794572054e-05,1.777886794572054e-05,0.0,0.0
4,35,Select the animal you find most impressive. One word answer.,-17.875,-18.0,1.7257827987960214e-08,1.522997974471263e-08,0.125,2.0278482432475845e-09
4,36,Which animal symbolizes you best? Respond in one word.,-11.0625,-10.9375,1.5689795893558925e-05,1.777886794572054e-05,-0.125,-2.0890720521616138e-06
4,37,Name the animal you'd most want to understand. Single word please.,-12.5625,-12.1875,3.5008666704259795e-06,5.093730949192808e-06,-0.375,-1.5928642787668285e-06
